dive_num,PTT,argos_date,depth,temp,lat_argos,lon_argos,gps_date,lat_gps,lon_gps
1,161291,2018-05-25 20:00:00,2,17.080,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,5,16.530,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,6,15.980,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,7,10.506,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,8,8.411,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,9,8.350,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,16,8.350,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,18,8.411,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,26,8.411,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
1,161291,2018-05-25 20:00:00,28,8.551,37.557427553680725,-74.76790654362034,2018-05-25 22:52:33,37.53715133666991,-74.7628402709961
2,161291,2018-09-03 08:00:00,2,23.650,37.97454165618355,-74.59859166599644,2018-09-03 08:16:48,37.9740982055664,-74.5962677001953
2,161291,2018-09-03 08:00:00,3,23.621,37.97454165618355,-74.59859166599644,2018-09-03 08:16:48,37.9740982055664,-74.5962677001953
2,161291,2018-09-03 08:00:00,4,23.531,37.97454165618355,-74.59859166599644,2018-09-03 08:16:48,37.9740982055664,-74.5962677001953
3,161291,2018-09-03 12:00:00,2,23.580,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,8,22.799,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,11,19.543,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,13,16.042,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,14,15.017,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,15,12.331,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,19,8.944,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,21,8.114,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,27,7.414,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
3,161291,2018-09-03 12:00:00,40,7.300,37.967594570828375,-74.58420255014966,2018-09-03 12:41:10,37.967620849609396,-74.58334350585939
4,161291,2018-09-04 04:00:00,2,23.730,38.00984479997162,-74.56849089809864,2018-09-04 04:35:01,38.00905990600591,-74.5673828125
4,161291,2018-09-04 04:00:00,3,23.617,38.00984479997162,-74.56849089809864,2018-09-04 04:35:01,38.00905990600591,-74.5673828125
4,161291,2018-09-04 04:00:00,4,23.497,38.00984479997162,-74.56849089809864,2018-09-04 04:35:01,38.00905990600591,-74.5673828125
4,161291,2018-09-04 04:00:00,5,23.460,38.00984479997162,-74.56849089809864,2018-09-04 04:35:01,38.00905990600591,-74.5673828125
5,161291,2018-09-04 12:00:00,2,23.590,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,9,22.783,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,11,20.480,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,15,13.756,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,16,11.251,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,17,10.865,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,18,9.537,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,20,8.545,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,27,7.099,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
5,161291,2018-09-04 12:00:00,40,6.780,37.99309643129753,-74.56868958935958,2018-09-04 12:00:06,37.99309921264649,-74.5686874389648
6,161291,2018-09-07 12:00:00,2,24.280,38.055340373488356,-74.49554446899694,2018-09-07 09:11:06,38.058349609375,-74.49665069580078
